Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
54	:	1778564662.446	    24.972	0	13470	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_120.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_120.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.05 --days_momentum 120
55	:	1778564662.467	    24.961	0	13497	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_150.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_150.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.05 --days_momentum 150
53	:	1778564662.438	    25.042	0	13394	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_100.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_100.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.05 --days_momentum 100
56	:	1778564662.476	    25.072	0	13401	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_220.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_220.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.05 --days_momentum 220
57	:	1778564676.856	    22.519	0	9281	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_3.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_3.html --days_holding 1 --top_percentile 0.5 --bottom_percentile None --days_momentum 3
58	:	1778564677.702	    24.375	0	10430	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_5.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_5.html --days_holding 1 --top_percentile 0.5 --bottom_percentile None --days_momentum 5
59	:	1778564685.243	    33.058	0	16076	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_7.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_7.html --days_holding 1 --top_percentile 0.5 --bottom_percentile None --days_momentum 7
60	:	1778564685.924	    33.979	0	16701	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_14.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_14.html --days_holding 1 --top_percentile 0.5 --bottom_percentile None --days_momentum 14
64	:	1778564687.562	    35.510	0	16790	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_50.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_50.html --days_holding 1 --top_percentile 0.5 --bottom_percentile None --days_momentum 50
62	:	1778564687.441	    35.796	0	17197	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_30.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_30.html --days_holding 1 --top_percentile 0.5 --bottom_percentile None --days_momentum 30
61	:	1778564687.429	    35.859	0	16823	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_21.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_21.html --days_holding 1 --top_percentile 0.5 --bottom_percentile None --days_momentum 21
63	:	1778564687.487	    35.884	0	16876	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_40.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_40.html --days_holding 1 --top_percentile 0.5 --bottom_percentile None --days_momentum 40
65	:	1778564699.387	    32.516	0	14077	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_60.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_60.html --days_holding 1 --top_percentile 0.5 --bottom_percentile None --days_momentum 60
66	:	1778564702.090	    31.834	0	13487	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_80.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_80.html --days_holding 1 --top_percentile 0.5 --bottom_percentile None --days_momentum 80
67	:	1778564718.318	    30.070	0	13333	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_100.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_100.html --days_holding 1 --top_percentile 0.5 --bottom_percentile None --days_momentum 100
68	:	1778564719.910	    31.947	0	14655	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_120.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_120.html --days_holding 1 --top_percentile 0.5 --bottom_percentile None --days_momentum 120
69	:	1778564723.083	    32.650	0	15408	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_150.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_150.html --days_holding 1 --top_percentile 0.5 --bottom_percentile None --days_momentum 150
70	:	1778564723.246	    33.172	0	15516	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_220.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_None_220.html --days_holding 1 --top_percentile 0.5 --bottom_percentile None --days_momentum 220
72	:	1778564723.383	    34.391	0	16567	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_5.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_5.html --days_holding 1 --top_percentile 0.75 --bottom_percentile 0.5 --days_momentum 5
71	:	1778564723.304	    34.608	0	16820	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_3.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_3.html --days_holding 1 --top_percentile 0.75 --bottom_percentile 0.5 --days_momentum 3
73	:	1778564731.911	    32.618	0	15456	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_7.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_7.html --days_holding 1 --top_percentile 0.75 --bottom_percentile 0.5 --days_momentum 7
74	:	1778564733.934	    32.469	0	15423	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_14.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_14.html --days_holding 1 --top_percentile 0.75 --bottom_percentile 0.5 --days_momentum 14
75	:	1778564748.399	    32.537	0	14425	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_21.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_21.html --days_holding 1 --top_percentile 0.75 --bottom_percentile 0.5 --days_momentum 21
76	:	1778564751.868	    33.177	0	15335	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_30.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_30.html --days_holding 1 --top_percentile 0.75 --bottom_percentile 0.5 --days_momentum 30
77	:	1778564755.742	    34.844	0	16519	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_40.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_40.html --days_holding 1 --top_percentile 0.75 --bottom_percentile 0.5 --days_momentum 40
78	:	1778564756.431	    35.493	0	16534	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_50.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_50.html --days_holding 1 --top_percentile 0.75 --bottom_percentile 0.5 --days_momentum 50
80	:	1778564757.928	    34.908	0	16846	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_80.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_80.html --days_holding 1 --top_percentile 0.75 --bottom_percentile 0.5 --days_momentum 80
79	:	1778564757.788	    35.203	0	16918	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_60.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_60.html --days_holding 1 --top_percentile 0.75 --bottom_percentile 0.5 --days_momentum 60
81	:	1778564764.544	    32.856	0	15724	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_100.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.75_0.5_100.html --days_holding 1 --top_percentile 0.75 --bottom_percentile 0.5 --days_momentum 100
